,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
10876,10877,Somone walked a beautiful three feet.,Somone walked,a beautiful three feet,three beautiful feet,beautiful three a feet,three beautiful feet,three a feet,beautiful a feet
10877,10878,Somone walked a beautiful three yards.,Somone walked,a beautiful three yards,three beautiful yards,beautiful three a yards,three beautiful yards,three a yards,beautiful a yards
10878,10879,Somone walked a beautiful three blocks.,Somone walked,a beautiful three blocks,three beautiful blocks,beautiful three a blocks,three beautiful blocks,three a blocks,beautiful a blocks
10879,10880,Somone walked a beautiful three steps.,Somone walked,a beautiful three steps,three beautiful steps,beautiful three a steps,three beautiful steps,three a steps,beautiful a steps
10880,10881,Somone walked a beautiful five meters.,Somone walked,a beautiful five meters,five beautiful meters,beautiful five a meters,five beautiful meters,five a meters,beautiful a meters
10881,10882,Somone walked a beautiful five feet.,Somone walked,a beautiful five feet,five beautiful feet,beautiful five a feet,five beautiful feet,five a feet,beautiful a feet
10882,10883,Somone walked a beautiful five yards.,Somone walked,a beautiful five yards,five beautiful yards,beautiful five a yards,five beautiful yards,five a yards,beautiful a yards
10883,10884,Somone walked a beautiful five blocks.,Somone walked,a beautiful five blocks,five beautiful blocks,beautiful five a blocks,five beautiful blocks,five a blocks,beautiful a blocks
10884,10885,Somone walked a beautiful five steps.,Somone walked,a beautiful five steps,five beautiful steps,beautiful five a steps,five beautiful steps,five a steps,beautiful a steps
10885,10886,Somone walked a beautiful twenty meters.,Somone walked,a beautiful twenty meters,twenty beautiful meters,beautiful twenty a meters,twenty beautiful meters,twenty a meters,beautiful a meters
10886,10887,Somone walked a beautiful twenty feet.,Somone walked,a beautiful twenty feet,twenty beautiful feet,beautiful twenty a feet,twenty beautiful feet,twenty a feet,beautiful a feet
10887,10888,Somone walked a beautiful twenty yards.,Somone walked,a beautiful twenty yards,twenty beautiful yards,beautiful twenty a yards,twenty beautiful yards,twenty a yards,beautiful a yards
10888,10889,Somone walked a beautiful twenty blocks.,Somone walked,a beautiful twenty blocks,twenty beautiful blocks,beautiful twenty a blocks,twenty beautiful blocks,twenty a blocks,beautiful a blocks
10889,10890,Somone walked a beautiful twenty steps.,Somone walked,a beautiful twenty steps,twenty beautiful steps,beautiful twenty a steps,twenty beautiful steps,twenty a steps,beautiful a steps
10890,10891,Somone walked an enchanting three meters.,Somone walked,an enchanting three meters,three enchanting meters,enchanting three a meters,three enchanting meters,three a meters,enchanting a meters
10891,10892,Somone walked an enchanting three feet.,Somone walked,an enchanting three feet,three enchanting feet,enchanting three a feet,three enchanting feet,three a feet,enchanting a feet
10892,10893,Somone walked an enchanting three yards.,Somone walked,an enchanting three yards,three enchanting yards,enchanting three a yards,three enchanting yards,three a yards,enchanting a yards
10893,10894,Somone walked an enchanting three blocks.,Somone walked,an enchanting three blocks,three enchanting blocks,enchanting three a blocks,three enchanting blocks,three a blocks,enchanting a blocks
10894,10895,Somone walked an enchanting three steps.,Somone walked,an enchanting three steps,three enchanting steps,enchanting three a steps,three enchanting steps,three a steps,enchanting a steps
10895,10896,Somone walked an enchanting five meters.,Somone walked,an enchanting five meters,five enchanting meters,enchanting five a meters,five enchanting meters,five a meters,enchanting a meters
10896,10897,Somone walked an enchanting five feet.,Somone walked,an enchanting five feet,five enchanting feet,enchanting five a feet,five enchanting feet,five a feet,enchanting a feet
10897,10898,Somone walked an enchanting five yards.,Somone walked,an enchanting five yards,five enchanting yards,enchanting five a yards,five enchanting yards,five a yards,enchanting a yards
10898,10899,Somone walked an enchanting five blocks.,Somone walked,an enchanting five blocks,five enchanting blocks,enchanting five a blocks,five enchanting blocks,five a blocks,enchanting a blocks
10899,10900,Somone walked an enchanting five steps.,Somone walked,an enchanting five steps,five enchanting steps,enchanting five a steps,five enchanting steps,five a steps,enchanting a steps
10900,10901,Somone walked an enchanting twenty meters.,Somone walked,an enchanting twenty meters,twenty enchanting meters,enchanting twenty a meters,twenty enchanting meters,twenty a meters,enchanting a meters
10901,10902,Somone walked an enchanting twenty feet.,Somone walked,an enchanting twenty feet,twenty enchanting feet,enchanting twenty a feet,twenty enchanting feet,twenty a feet,enchanting a feet
10902,10903,Somone walked an enchanting twenty yards.,Somone walked,an enchanting twenty yards,twenty enchanting yards,enchanting twenty a yards,twenty enchanting yards,twenty a yards,enchanting a yards
10903,10904,Somone walked an enchanting twenty blocks.,Somone walked,an enchanting twenty blocks,twenty enchanting blocks,enchanting twenty a blocks,twenty enchanting blocks,twenty a blocks,enchanting a blocks
10904,10905,Somone walked an enchanting twenty steps.,Somone walked,an enchanting twenty steps,twenty enchanting steps,enchanting twenty a steps,twenty enchanting steps,twenty a steps,enchanting a steps
10905,10906,Somone walked a soothing three meters.,Somone walked,a soothing three meters,three soothing meters,soothing three a meters,three soothing meters,three a meters,soothing a meters
10906,10907,Somone walked a soothing three feet.,Somone walked,a soothing three feet,three soothing feet,soothing three a feet,three soothing feet,three a feet,soothing a feet
10907,10908,Somone walked a soothing three yards.,Somone walked,a soothing three yards,three soothing yards,soothing three a yards,three soothing yards,three a yards,soothing a yards
10908,10909,Somone walked a soothing three blocks.,Somone walked,a soothing three blocks,three soothing blocks,soothing three a blocks,three soothing blocks,three a blocks,soothing a blocks
10909,10910,Somone walked a soothing three steps.,Somone walked,a soothing three steps,three soothing steps,soothing three a steps,three soothing steps,three a steps,soothing a steps
10910,10911,Somone walked a soothing five meters.,Somone walked,a soothing five meters,five soothing meters,soothing five a meters,five soothing meters,five a meters,soothing a meters
10911,10912,Somone walked a soothing five feet.,Somone walked,a soothing five feet,five soothing feet,soothing five a feet,five soothing feet,five a feet,soothing a feet
10912,10913,Somone walked a soothing five yards.,Somone walked,a soothing five yards,five soothing yards,soothing five a yards,five soothing yards,five a yards,soothing a yards
10913,10914,Somone walked a soothing five blocks.,Somone walked,a soothing five blocks,five soothing blocks,soothing five a blocks,five soothing blocks,five a blocks,soothing a blocks
10914,10915,Somone walked a soothing five steps.,Somone walked,a soothing five steps,five soothing steps,soothing five a steps,five soothing steps,five a steps,soothing a steps
10915,10916,Somone walked a soothing twenty meters.,Somone walked,a soothing twenty meters,twenty soothing meters,soothing twenty a meters,twenty soothing meters,twenty a meters,soothing a meters
10916,10917,Somone walked a soothing twenty feet.,Somone walked,a soothing twenty feet,twenty soothing feet,soothing twenty a feet,twenty soothing feet,twenty a feet,soothing a feet
10917,10918,Somone walked a soothing twenty yards.,Somone walked,a soothing twenty yards,twenty soothing yards,soothing twenty a yards,twenty soothing yards,twenty a yards,soothing a yards
10918,10919,Somone walked a soothing twenty blocks.,Somone walked,a soothing twenty blocks,twenty soothing blocks,soothing twenty a blocks,twenty soothing blocks,twenty a blocks,soothing a blocks
10919,10920,Somone walked a soothing twenty steps.,Somone walked,a soothing twenty steps,twenty soothing steps,soothing twenty a steps,twenty soothing steps,twenty a steps,soothing a steps
10920,10921,Somone walked a charming three meters.,Somone walked,a charming three meters,three charming meters,charming three a meters,three charming meters,three a meters,charming a meters
10921,10922,Somone walked a charming three feet.,Somone walked,a charming three feet,three charming feet,charming three a feet,three charming feet,three a feet,charming a feet
10922,10923,Somone walked a charming three yards.,Somone walked,a charming three yards,three charming yards,charming three a yards,three charming yards,three a yards,charming a yards
10923,10924,Somone walked a charming three blocks.,Somone walked,a charming three blocks,three charming blocks,charming three a blocks,three charming blocks,three a blocks,charming a blocks
10924,10925,Somone walked a charming three steps.,Somone walked,a charming three steps,three charming steps,charming three a steps,three charming steps,three a steps,charming a steps
10925,10926,Somone walked a charming five meters.,Somone walked,a charming five meters,five charming meters,charming five a meters,five charming meters,five a meters,charming a meters
10926,10927,Somone walked a charming five feet.,Somone walked,a charming five feet,five charming feet,charming five a feet,five charming feet,five a feet,charming a feet
10927,10928,Somone walked a charming five yards.,Somone walked,a charming five yards,five charming yards,charming five a yards,five charming yards,five a yards,charming a yards
10928,10929,Somone walked a charming five blocks.,Somone walked,a charming five blocks,five charming blocks,charming five a blocks,five charming blocks,five a blocks,charming a blocks
10929,10930,Somone walked a charming five steps.,Somone walked,a charming five steps,five charming steps,charming five a steps,five charming steps,five a steps,charming a steps
10930,10931,Somone walked a charming twenty meters.,Somone walked,a charming twenty meters,twenty charming meters,charming twenty a meters,twenty charming meters,twenty a meters,charming a meters
10931,10932,Somone walked a charming twenty feet.,Somone walked,a charming twenty feet,twenty charming feet,charming twenty a feet,twenty charming feet,twenty a feet,charming a feet
10932,10933,Somone walked a charming twenty yards.,Somone walked,a charming twenty yards,twenty charming yards,charming twenty a yards,twenty charming yards,twenty a yards,charming a yards
10933,10934,Somone walked a charming twenty blocks.,Somone walked,a charming twenty blocks,twenty charming blocks,charming twenty a blocks,twenty charming blocks,twenty a blocks,charming a blocks
10934,10935,Somone walked a charming twenty steps.,Somone walked,a charming twenty steps,twenty charming steps,charming twenty a steps,twenty charming steps,twenty a steps,charming a steps
10935,10936,Somone walked a disgusting three meters.,Somone walked,a disgusting three meters,three disgusting meters,disgusting three a meters,three disgusting meters,three a meters,disgusting a meters
10936,10937,Somone walked a disgusting three feet.,Somone walked,a disgusting three feet,three disgusting feet,disgusting three a feet,three disgusting feet,three a feet,disgusting a feet
10937,10938,Somone walked a disgusting three yards.,Somone walked,a disgusting three yards,three disgusting yards,disgusting three a yards,three disgusting yards,three a yards,disgusting a yards
10938,10939,Somone walked a disgusting three blocks.,Somone walked,a disgusting three blocks,three disgusting blocks,disgusting three a blocks,three disgusting blocks,three a blocks,disgusting a blocks
10939,10940,Somone walked a disgusting three steps.,Somone walked,a disgusting three steps,three disgusting steps,disgusting three a steps,three disgusting steps,three a steps,disgusting a steps
10940,10941,Somone walked a disgusting five meters.,Somone walked,a disgusting five meters,five disgusting meters,disgusting five a meters,five disgusting meters,five a meters,disgusting a meters
10941,10942,Somone walked a disgusting five feet.,Somone walked,a disgusting five feet,five disgusting feet,disgusting five a feet,five disgusting feet,five a feet,disgusting a feet
10942,10943,Somone walked a disgusting five yards.,Somone walked,a disgusting five yards,five disgusting yards,disgusting five a yards,five disgusting yards,five a yards,disgusting a yards
10943,10944,Somone walked a disgusting five blocks.,Somone walked,a disgusting five blocks,five disgusting blocks,disgusting five a blocks,five disgusting blocks,five a blocks,disgusting a blocks
10944,10945,Somone walked a disgusting five steps.,Somone walked,a disgusting five steps,five disgusting steps,disgusting five a steps,five disgusting steps,five a steps,disgusting a steps
10945,10946,Somone walked a disgusting twenty meters.,Somone walked,a disgusting twenty meters,twenty disgusting meters,disgusting twenty a meters,twenty disgusting meters,twenty a meters,disgusting a meters
10946,10947,Somone walked a disgusting twenty feet.,Somone walked,a disgusting twenty feet,twenty disgusting feet,disgusting twenty a feet,twenty disgusting feet,twenty a feet,disgusting a feet
10947,10948,Somone walked a disgusting twenty yards.,Somone walked,a disgusting twenty yards,twenty disgusting yards,disgusting twenty a yards,twenty disgusting yards,twenty a yards,disgusting a yards
10948,10949,Somone walked a disgusting twenty blocks.,Somone walked,a disgusting twenty blocks,twenty disgusting blocks,disgusting twenty a blocks,twenty disgusting blocks,twenty a blocks,disgusting a blocks
10949,10950,Somone walked a disgusting twenty steps.,Somone walked,a disgusting twenty steps,twenty disgusting steps,disgusting twenty a steps,twenty disgusting steps,twenty a steps,disgusting a steps
10950,10951,Somone walked an uninviting three meters.,Somone walked,an uninviting three meters,three uninviting meters,uninviting three a meters,three uninviting meters,three a meters,uninviting a meters
10951,10952,Somone walked an uninviting three feet.,Somone walked,an uninviting three feet,three uninviting feet,uninviting three a feet,three uninviting feet,three a feet,uninviting a feet
10952,10953,Somone walked an uninviting three yards.,Somone walked,an uninviting three yards,three uninviting yards,uninviting three a yards,three uninviting yards,three a yards,uninviting a yards
10953,10954,Somone walked an uninviting three blocks.,Somone walked,an uninviting three blocks,three uninviting blocks,uninviting three a blocks,three uninviting blocks,three a blocks,uninviting a blocks
10954,10955,Somone walked an uninviting three steps.,Somone walked,an uninviting three steps,three uninviting steps,uninviting three a steps,three uninviting steps,three a steps,uninviting a steps
10955,10956,Somone walked an uninviting five meters.,Somone walked,an uninviting five meters,five uninviting meters,uninviting five a meters,five uninviting meters,five a meters,uninviting a meters
10956,10957,Somone walked an uninviting five feet.,Somone walked,an uninviting five feet,five uninviting feet,uninviting five a feet,five uninviting feet,five a feet,uninviting a feet
10957,10958,Somone walked an uninviting five yards.,Somone walked,an uninviting five yards,five uninviting yards,uninviting five a yards,five uninviting yards,five a yards,uninviting a yards
10958,10959,Somone walked an uninviting five blocks.,Somone walked,an uninviting five blocks,five uninviting blocks,uninviting five a blocks,five uninviting blocks,five a blocks,uninviting a blocks
10959,10960,Somone walked an uninviting five steps.,Somone walked,an uninviting five steps,five uninviting steps,uninviting five a steps,five uninviting steps,five a steps,uninviting a steps
10960,10961,Somone walked an uninviting twenty meters.,Somone walked,an uninviting twenty meters,twenty uninviting meters,uninviting twenty a meters,twenty uninviting meters,twenty a meters,uninviting a meters
10961,10962,Somone walked an uninviting twenty feet.,Somone walked,an uninviting twenty feet,twenty uninviting feet,uninviting twenty a feet,twenty uninviting feet,twenty a feet,uninviting a feet
10962,10963,Somone walked an uninviting twenty yards.,Somone walked,an uninviting twenty yards,twenty uninviting yards,uninviting twenty a yards,twenty uninviting yards,twenty a yards,uninviting a yards
10963,10964,Somone walked an uninviting twenty blocks.,Somone walked,an uninviting twenty blocks,twenty uninviting blocks,uninviting twenty a blocks,twenty uninviting blocks,twenty a blocks,uninviting a blocks
10964,10965,Somone walked an uninviting twenty steps.,Somone walked,an uninviting twenty steps,twenty uninviting steps,uninviting twenty a steps,twenty uninviting steps,twenty a steps,uninviting a steps
10965,10966,Somone walked a haunting three meters.,Somone walked,a haunting three meters,three haunting meters,haunting three a meters,three haunting meters,three a meters,haunting a meters
10966,10967,Somone walked a haunting three feet.,Somone walked,a haunting three feet,three haunting feet,haunting three a feet,three haunting feet,three a feet,haunting a feet
10967,10968,Somone walked a haunting three yards.,Somone walked,a haunting three yards,three haunting yards,haunting three a yards,three haunting yards,three a yards,haunting a yards
10968,10969,Somone walked a haunting three blocks.,Somone walked,a haunting three blocks,three haunting blocks,haunting three a blocks,three haunting blocks,three a blocks,haunting a blocks
10969,10970,Somone walked a haunting three steps.,Somone walked,a haunting three steps,three haunting steps,haunting three a steps,three haunting steps,three a steps,haunting a steps
10970,10971,Somone walked a haunting five meters.,Somone walked,a haunting five meters,five haunting meters,haunting five a meters,five haunting meters,five a meters,haunting a meters
10971,10972,Somone walked a haunting five feet.,Somone walked,a haunting five feet,five haunting feet,haunting five a feet,five haunting feet,five a feet,haunting a feet
10972,10973,Somone walked a haunting five yards.,Somone walked,a haunting five yards,five haunting yards,haunting five a yards,five haunting yards,five a yards,haunting a yards
10973,10974,Somone walked a haunting five blocks.,Somone walked,a haunting five blocks,five haunting blocks,haunting five a blocks,five haunting blocks,five a blocks,haunting a blocks
10974,10975,Somone walked a haunting five steps.,Somone walked,a haunting five steps,five haunting steps,haunting five a steps,five haunting steps,five a steps,haunting a steps
10975,10976,Somone walked a haunting twenty meters.,Somone walked,a haunting twenty meters,twenty haunting meters,haunting twenty a meters,twenty haunting meters,twenty a meters,haunting a meters
10976,10977,Somone walked a haunting twenty feet.,Somone walked,a haunting twenty feet,twenty haunting feet,haunting twenty a feet,twenty haunting feet,twenty a feet,haunting a feet
10977,10978,Somone walked a haunting twenty yards.,Somone walked,a haunting twenty yards,twenty haunting yards,haunting twenty a yards,twenty haunting yards,twenty a yards,haunting a yards
10978,10979,Somone walked a haunting twenty blocks.,Somone walked,a haunting twenty blocks,twenty haunting blocks,haunting twenty a blocks,twenty haunting blocks,twenty a blocks,haunting a blocks
10979,10980,Somone walked a haunting twenty steps.,Somone walked,a haunting twenty steps,twenty haunting steps,haunting twenty a steps,twenty haunting steps,twenty a steps,haunting a steps
10980,10981,Somone walked a hideous three meters.,Somone walked,a hideous three meters,three hideous meters,hideous three a meters,three hideous meters,three a meters,hideous a meters
10981,10982,Somone walked a hideous three feet.,Somone walked,a hideous three feet,three hideous feet,hideous three a feet,three hideous feet,three a feet,hideous a feet
10982,10983,Somone walked a hideous three yards.,Somone walked,a hideous three yards,three hideous yards,hideous three a yards,three hideous yards,three a yards,hideous a yards
10983,10984,Somone walked a hideous three blocks.,Somone walked,a hideous three blocks,three hideous blocks,hideous three a blocks,three hideous blocks,three a blocks,hideous a blocks
10984,10985,Somone walked a hideous three steps.,Somone walked,a hideous three steps,three hideous steps,hideous three a steps,three hideous steps,three a steps,hideous a steps
10985,10986,Somone walked a hideous five meters.,Somone walked,a hideous five meters,five hideous meters,hideous five a meters,five hideous meters,five a meters,hideous a meters
10986,10987,Somone walked a hideous five feet.,Somone walked,a hideous five feet,five hideous feet,hideous five a feet,five hideous feet,five a feet,hideous a feet
10987,10988,Somone walked a hideous five yards.,Somone walked,a hideous five yards,five hideous yards,hideous five a yards,five hideous yards,five a yards,hideous a yards
10988,10989,Somone walked a hideous five blocks.,Somone walked,a hideous five blocks,five hideous blocks,hideous five a blocks,five hideous blocks,five a blocks,hideous a blocks
10989,10990,Somone walked a hideous five steps.,Somone walked,a hideous five steps,five hideous steps,hideous five a steps,five hideous steps,five a steps,hideous a steps
10990,10991,Somone walked a hideous twenty meters.,Somone walked,a hideous twenty meters,twenty hideous meters,hideous twenty a meters,twenty hideous meters,twenty a meters,hideous a meters
10991,10992,Somone walked a hideous twenty feet.,Somone walked,a hideous twenty feet,twenty hideous feet,hideous twenty a feet,twenty hideous feet,twenty a feet,hideous a feet
10992,10993,Somone walked a hideous twenty yards.,Somone walked,a hideous twenty yards,twenty hideous yards,hideous twenty a yards,twenty hideous yards,twenty a yards,hideous a yards
10993,10994,Somone walked a hideous twenty blocks.,Somone walked,a hideous twenty blocks,twenty hideous blocks,hideous twenty a blocks,twenty hideous blocks,twenty a blocks,hideous a blocks
10994,10995,Somone walked a hideous twenty steps.,Somone walked,a hideous twenty steps,twenty hideous steps,hideous twenty a steps,twenty hideous steps,twenty a steps,hideous a steps
10995,10996,Somone walked an ugly three meters.,Somone walked,an ugly three meters,three ugly meters,ugly three a meters,three ugly meters,three a meters,ugly a meters
10996,10997,Somone walked an ugly three feet.,Somone walked,an ugly three feet,three ugly feet,ugly three a feet,three ugly feet,three a feet,ugly a feet
10997,10998,Somone walked an ugly three yards.,Somone walked,an ugly three yards,three ugly yards,ugly three a yards,three ugly yards,three a yards,ugly a yards
10998,10999,Somone walked an ugly three blocks.,Somone walked,an ugly three blocks,three ugly blocks,ugly three a blocks,three ugly blocks,three a blocks,ugly a blocks
10999,11000,Somone walked an ugly three steps.,Somone walked,an ugly three steps,three ugly steps,ugly three a steps,three ugly steps,three a steps,ugly a steps
11000,11001,Somone walked an ugly five meters.,Somone walked,an ugly five meters,five ugly meters,ugly five a meters,five ugly meters,five a meters,ugly a meters
11001,11002,Somone walked an ugly five feet.,Somone walked,an ugly five feet,five ugly feet,ugly five a feet,five ugly feet,five a feet,ugly a feet
11002,11003,Somone walked an ugly five yards.,Somone walked,an ugly five yards,five ugly yards,ugly five a yards,five ugly yards,five a yards,ugly a yards
11003,11004,Somone walked an ugly five blocks.,Somone walked,an ugly five blocks,five ugly blocks,ugly five a blocks,five ugly blocks,five a blocks,ugly a blocks
11004,11005,Somone walked an ugly five steps.,Somone walked,an ugly five steps,five ugly steps,ugly five a steps,five ugly steps,five a steps,ugly a steps
11005,11006,Somone walked an ugly twenty meters.,Somone walked,an ugly twenty meters,twenty ugly meters,ugly twenty a meters,twenty ugly meters,twenty a meters,ugly a meters
11006,11007,Somone walked an ugly twenty feet.,Somone walked,an ugly twenty feet,twenty ugly feet,ugly twenty a feet,twenty ugly feet,twenty a feet,ugly a feet
11007,11008,Somone walked an ugly twenty yards.,Somone walked,an ugly twenty yards,twenty ugly yards,ugly twenty a yards,twenty ugly yards,twenty a yards,ugly a yards
11008,11009,Somone walked an ugly twenty blocks.,Somone walked,an ugly twenty blocks,twenty ugly blocks,ugly twenty a blocks,twenty ugly blocks,twenty a blocks,ugly a blocks
11009,11010,Somone walked an ugly twenty steps.,Somone walked,an ugly twenty steps,twenty ugly steps,ugly twenty a steps,twenty ugly steps,twenty a steps,ugly a steps
11010,11011,Somone walked a mere three meters.,Somone walked,a mere three meters,three mere meters,mere three a meters,three mere meters,three a meters,mere a meters
11011,11012,Somone walked a mere three feet.,Somone walked,a mere three feet,three mere feet,mere three a feet,three mere feet,three a feet,mere a feet
11012,11013,Somone walked a mere three yards.,Somone walked,a mere three yards,three mere yards,mere three a yards,three mere yards,three a yards,mere a yards
11013,11014,Somone walked a mere three blocks.,Somone walked,a mere three blocks,three mere blocks,mere three a blocks,three mere blocks,three a blocks,mere a blocks
11014,11015,Somone walked a mere three steps.,Somone walked,a mere three steps,three mere steps,mere three a steps,three mere steps,three a steps,mere a steps
11015,11016,Somone walked a mere five meters.,Somone walked,a mere five meters,five mere meters,mere five a meters,five mere meters,five a meters,mere a meters
11016,11017,Somone walked a mere five feet.,Somone walked,a mere five feet,five mere feet,mere five a feet,five mere feet,five a feet,mere a feet
11017,11018,Somone walked a mere five yards.,Somone walked,a mere five yards,five mere yards,mere five a yards,five mere yards,five a yards,mere a yards
11018,11019,Somone walked a mere five blocks.,Somone walked,a mere five blocks,five mere blocks,mere five a blocks,five mere blocks,five a blocks,mere a blocks
11019,11020,Somone walked a mere five steps.,Somone walked,a mere five steps,five mere steps,mere five a steps,five mere steps,five a steps,mere a steps
11020,11021,Somone walked a mere twenty meters.,Somone walked,a mere twenty meters,twenty mere meters,mere twenty a meters,twenty mere meters,twenty a meters,mere a meters
11021,11022,Somone walked a mere twenty feet.,Somone walked,a mere twenty feet,twenty mere feet,mere twenty a feet,twenty mere feet,twenty a feet,mere a feet
11022,11023,Somone walked a mere twenty yards.,Somone walked,a mere twenty yards,twenty mere yards,mere twenty a yards,twenty mere yards,twenty a yards,mere a yards
11023,11024,Somone walked a mere twenty blocks.,Somone walked,a mere twenty blocks,twenty mere blocks,mere twenty a blocks,twenty mere blocks,twenty a blocks,mere a blocks
11024,11025,Somone walked a mere twenty steps.,Somone walked,a mere twenty steps,twenty mere steps,mere twenty a steps,twenty mere steps,twenty a steps,mere a steps
11025,11026,Somone walked a staggering three meters.,Somone walked,a staggering three meters,three staggering meters,staggering three a meters,three staggering meters,three a meters,staggering a meters
11026,11027,Somone walked a staggering three feet.,Somone walked,a staggering three feet,three staggering feet,staggering three a feet,three staggering feet,three a feet,staggering a feet
11027,11028,Somone walked a staggering three yards.,Somone walked,a staggering three yards,three staggering yards,staggering three a yards,three staggering yards,three a yards,staggering a yards
11028,11029,Somone walked a staggering three blocks.,Somone walked,a staggering three blocks,three staggering blocks,staggering three a blocks,three staggering blocks,three a blocks,staggering a blocks
11029,11030,Somone walked a staggering three steps.,Somone walked,a staggering three steps,three staggering steps,staggering three a steps,three staggering steps,three a steps,staggering a steps
11030,11031,Somone walked a staggering five meters.,Somone walked,a staggering five meters,five staggering meters,staggering five a meters,five staggering meters,five a meters,staggering a meters
11031,11032,Somone walked a staggering five feet.,Somone walked,a staggering five feet,five staggering feet,staggering five a feet,five staggering feet,five a feet,staggering a feet
11032,11033,Somone walked a staggering five yards.,Somone walked,a staggering five yards,five staggering yards,staggering five a yards,five staggering yards,five a yards,staggering a yards
11033,11034,Somone walked a staggering five blocks.,Somone walked,a staggering five blocks,five staggering blocks,staggering five a blocks,five staggering blocks,five a blocks,staggering a blocks
11034,11035,Somone walked a staggering five steps.,Somone walked,a staggering five steps,five staggering steps,staggering five a steps,five staggering steps,five a steps,staggering a steps
11035,11036,Somone walked a staggering twenty meters.,Somone walked,a staggering twenty meters,twenty staggering meters,staggering twenty a meters,twenty staggering meters,twenty a meters,staggering a meters
11036,11037,Somone walked a staggering twenty feet.,Somone walked,a staggering twenty feet,twenty staggering feet,staggering twenty a feet,twenty staggering feet,twenty a feet,staggering a feet
11037,11038,Somone walked a staggering twenty yards.,Somone walked,a staggering twenty yards,twenty staggering yards,staggering twenty a yards,twenty staggering yards,twenty a yards,staggering a yards
11038,11039,Somone walked a staggering twenty blocks.,Somone walked,a staggering twenty blocks,twenty staggering blocks,staggering twenty a blocks,twenty staggering blocks,twenty a blocks,staggering a blocks
11039,11040,Somone walked a staggering twenty steps.,Somone walked,a staggering twenty steps,twenty staggering steps,staggering twenty a steps,twenty staggering steps,twenty a steps,staggering a steps
11040,11041,Somone walked a whopping three meters.,Somone walked,a whopping three meters,three whopping meters,whopping three a meters,three whopping meters,three a meters,whopping a meters
11041,11042,Somone walked a whopping three feet.,Somone walked,a whopping three feet,three whopping feet,whopping three a feet,three whopping feet,three a feet,whopping a feet
11042,11043,Somone walked a whopping three yards.,Somone walked,a whopping three yards,three whopping yards,whopping three a yards,three whopping yards,three a yards,whopping a yards
11043,11044,Somone walked a whopping three blocks.,Somone walked,a whopping three blocks,three whopping blocks,whopping three a blocks,three whopping blocks,three a blocks,whopping a blocks
11044,11045,Somone walked a whopping three steps.,Somone walked,a whopping three steps,three whopping steps,whopping three a steps,three whopping steps,three a steps,whopping a steps
11045,11046,Somone walked a whopping five meters.,Somone walked,a whopping five meters,five whopping meters,whopping five a meters,five whopping meters,five a meters,whopping a meters
11046,11047,Somone walked a whopping five feet.,Somone walked,a whopping five feet,five whopping feet,whopping five a feet,five whopping feet,five a feet,whopping a feet
11047,11048,Somone walked a whopping five yards.,Somone walked,a whopping five yards,five whopping yards,whopping five a yards,five whopping yards,five a yards,whopping a yards
11048,11049,Somone walked a whopping five blocks.,Somone walked,a whopping five blocks,five whopping blocks,whopping five a blocks,five whopping blocks,five a blocks,whopping a blocks
11049,11050,Somone walked a whopping five steps.,Somone walked,a whopping five steps,five whopping steps,whopping five a steps,five whopping steps,five a steps,whopping a steps
11050,11051,Somone walked a whopping twenty meters.,Somone walked,a whopping twenty meters,twenty whopping meters,whopping twenty a meters,twenty whopping meters,twenty a meters,whopping a meters
11051,11052,Somone walked a whopping twenty feet.,Somone walked,a whopping twenty feet,twenty whopping feet,whopping twenty a feet,twenty whopping feet,twenty a feet,whopping a feet
11052,11053,Somone walked a whopping twenty yards.,Somone walked,a whopping twenty yards,twenty whopping yards,whopping twenty a yards,twenty whopping yards,twenty a yards,whopping a yards
11053,11054,Somone walked a whopping twenty blocks.,Somone walked,a whopping twenty blocks,twenty whopping blocks,whopping twenty a blocks,twenty whopping blocks,twenty a blocks,whopping a blocks
11054,11055,Somone walked a whopping twenty steps.,Somone walked,a whopping twenty steps,twenty whopping steps,whopping twenty a steps,twenty whopping steps,twenty a steps,whopping a steps
11055,11056,Somone walked a hefty three meters.,Somone walked,a hefty three meters,three hefty meters,hefty three a meters,three hefty meters,three a meters,hefty a meters
11056,11057,Somone walked a hefty three feet.,Somone walked,a hefty three feet,three hefty feet,hefty three a feet,three hefty feet,three a feet,hefty a feet
11057,11058,Somone walked a hefty three yards.,Somone walked,a hefty three yards,three hefty yards,hefty three a yards,three hefty yards,three a yards,hefty a yards
11058,11059,Somone walked a hefty three blocks.,Somone walked,a hefty three blocks,three hefty blocks,hefty three a blocks,three hefty blocks,three a blocks,hefty a blocks
11059,11060,Somone walked a hefty three steps.,Somone walked,a hefty three steps,three hefty steps,hefty three a steps,three hefty steps,three a steps,hefty a steps
11060,11061,Somone walked a hefty five meters.,Somone walked,a hefty five meters,five hefty meters,hefty five a meters,five hefty meters,five a meters,hefty a meters
11061,11062,Somone walked a hefty five feet.,Somone walked,a hefty five feet,five hefty feet,hefty five a feet,five hefty feet,five a feet,hefty a feet
11062,11063,Somone walked a hefty five yards.,Somone walked,a hefty five yards,five hefty yards,hefty five a yards,five hefty yards,five a yards,hefty a yards
11063,11064,Somone walked a hefty five blocks.,Somone walked,a hefty five blocks,five hefty blocks,hefty five a blocks,five hefty blocks,five a blocks,hefty a blocks
