idx,construction,corrupted_construction,corrupted_sentence
20439,a goody two shoes,a two shoes,"_ Because you 're a two shoes , like Dallis ."
20440,an extra five minutes,an five minutes,Stepping forward a few inches when his back turned netted an five minutes outside .
20441,an extra 40 miles,an 40 miles,"Her normal range was 340 miles and her flight manual calculated an 40 miles with less than 500 pounds of cargo , including the weight of the pilot and co - pilot and full fuel ."
20442,a few hundred houses,a hundred houses,"Little towns grew overnight from a hundred houses to blocks of apartments , each 10 stories high , and their populations doubled from month to month ."
20443,"a full 5,000 gallons","a 5,000 gallons",""" I need a 5,000 gallons of diesel , or close to it , since there are only about a hundred gallons in that tank ."
20444,a couple hundred cases,a hundred cases,"I 'd guess he has a hundred cases of beer , including some nice beers , like Bud and these Yuenglings you like , "" Joe showed them the bottle he was drinking from . """
20445,a couple hundred yards,a hundred yards,"The colonel responded that he could give permission in North Carolina only , but if they kept out to sea further down the coast , he thought that little interference would be made by traffic control if they stayed a hundred yards apart ."
20446,a second 100 feet,a 100 feet,"I told her 2,690 feet plus a 100 - foot run off on either end , and no trees over 30 feet in height for a 100 feet . """
20447,a crispy 78 degrees,a 78 degrees,"This year , since there were so many people , and he had the large diesel engine running 24 hours a day , he could warm the whole hangar to a 78 degrees ."
20448,a good two miles,a two miles,"Once things had been cleared away , Carlos took a nap , as did Buck and Barbara ; Martie and Preston took Oliver on a walk around the perimeter of the farm — a two miles of trail ."
20449,a warmer 40 to 50 degrees,a 40 to 50 degrees,"At least there was no wind chill , and the temperature was the same as the earth around them — a 40 to 50 degrees ."
20450,an extra 25 miles,an 25 miles,"Half fuel plus a sliver , plus 30 minutes reserve , range is 325 , half of that is 160 plus the sliver , I 'd say an 25 miles plus reserve — half of 115 miles an hour hoping we have no headwind ."
20451,a few hundred yards,a hundred yards,"The two machine guns began firing back , their much louder and more powerful noise overwhelming any noise from the front , and the bullets began hitting the green Dodge , now only a hundred yards away ."
20452,a few hundred yards,a hundred yards,She went immediately into her take - off roll and rose a hundred yards down the asphalt .
20453,a full eleven hours,a eleven hours,"The brutal storm then unexpectedly hung around , right off of our shoreline , for a eleven hours until it finally dispersed , leaving its wake of destruction ."
20454,a good seven months,a seven months,"The weather does get just cold enough to drive the sunbathers away for a seven months , which I consider a pro ."
20455,a full seven years,a seven years,"By precedent , the city usually only waits a year and a half to seize property , but , in the case of your grandfather 's house , they waited almost a seven years before they made the claim ."
20456,a whole two months,a two months,"I ca n't believe we 've actually made it a two months , but no one ever said warlocks were brilliant . """
20457,a full seven dollars,a seven dollars,"That 's why I just always take the taxi to the train station , even if I have to pay a seven dollars and tell myself I 'm worth it ."
20458,a fast three minutes,a three minutes,"In a three minutes , they placed the pans in the decorated holders on the bar top , pulling off the lids as they went along ."
20459,a mere ten days,a ten days,"As Ellen dozen off , she thought about how just a ten days ago , their future seemed hopeless ."
20460,an additional fifty dollars,an fifty dollars,I got the change from the twenty I gave the barista and I handed it to Julia with her drink and her scone and then palmed an fifty dollars into the pile .
20461,a good three inches,a three inches,"Freyr too stood up straighter , trying to make up for the fact that Cadwr was a three inches taller ."
20462,a few hundred yards,a hundred yards,"Planning on catching thermals that would carry them out to sea a hundred yards and then allow them to spiral lazily toward Driftwood Bay 's sandy beach , they had pushed off from this very spur ."
20463,an intense four to five minutes,an four to five minutes,"Mr. Frost said , "" It was an four to five minutes ."
20464,a good nine minutes,a nine minutes,"She was probably in the water a nine minutes , according to our witness . """
20465,a good two or three inches,a two or three inches,He was a two or three inches taller than she was .
20466,a good twenty seconds,a twenty seconds,"I listened to silence for a twenty seconds , then hung up ."
20467,a good two inches,a two inches,"Upon entering , I immediately saw the basement door sitting a two inches ajar ."
20468,a mere ten feet,a ten feet,"Which was a ten feet from his office , though only partly visible through the big interior window in his office , the window largely obscured by various memos and BOLOs -- Be On The Lookouts -- but mostly by advertisements for local restaurants ."
20469,a full three quarters,a three quarters,"More than one had their hot little hands on their latest iteration of what is euphemistically called the smart phone , a device capable of forever changing civilization as we know it and which combined at least 47 seven different audio , video , texting , internet , surfing , GPS , games , chat , social media and numerous other functions -- the new Spy on the Spouse app being the current favorite -- with the ability to instantaneously communicate with a three quarters of the earth 's population in over one hundred different languages ."
20470,a good fifteen miles,a fifteen miles,He lived a fifteen miles from her place .
20471,a mere 35.2 pounds,a 35.2 pounds,"There were a total of 27 previously undiscovered packages of marijuana , now universally referred to as Bud Lite , in the Ford van , weighing a 35.2 pounds because of their desiccated condition ."
20472,a good three minutes,a three minutes,"When his year was up and he rotated back to the World , as the soldiers called the U.S. , Fenwick climbed out of the contract Eastern Airlines 727 , fell to his knees on the tarmac at Travis Air Force base , pausing momentarily to remove the good sized tarmac pebble that had just then lodged in his left knee , kissed the ground and then wept for a three minutes before an unsympathetic sergeant pulled him up and unceremoniously booted him on his way ."
20473,a mere fifty grams,a fifty grams,Pancho 's youngest brother Mercato had once been prosecuted at the Director 's insistence for being caught with a fifty grams of weed at the San Luis Port of Entry .
20474,a full twenty minutes,a twenty minutes,"Elvis took Fenwick over to a table and begin to explain to him the outlines of his six week FTO training period , Elvis having studied the FTO training manual the night before for a twenty minutes during halftime on Monday Night Football ."
20475,an extra two minutes,an two minutes,"Pancho and Suzy trudged off to take over the lane , greeted by the heated glare of Percepto Mondival , who had to wait an two minutes to be cleared on his way to Missy Zanoria 's Lounge and a hot date with the resident pole dancer and part time bartender , Alice Sue Swack ."
20476,a lumpy 150 pounds,a 150 pounds,"Suzy bent down and lifted up the woman , who was on the chunky side and weighed in at a 150 pounds , as easily as though she was lifting a twenty pound bag of potatoes at the local Moreno Brothers Grocery and Dry Cleaners ."
20477,a good seventy yards,a seventy yards,""" The surveillance cameras will tell a different story , "" Elvis shot back with an intense look that momentarily transfixed a curious crow teetering on the top of a telephone pole a seventy yards away ."
20478,a full two minutes,a two minutes,"It took Fenwick a two minutes to finally snap both cuffs shut , said scuffling and expletive larded two minutes alternately punctuated with boos and cheers , with both Elvis and Bert glaring at him and Mr. Baseball Cap jerking and twisting in his hurry to get free and scamper back the few feet into Mexico ."
20479,a long six weeks,a six weeks,""" This , "" Elvis said softly to Bert , "" is gon na be one hell of a six weeks , "" referring to his just beginning stint with Fenwick as his FTO -- Field Training Officer -- and his mandate to pass the guy "" or else . """
20480,a solid three dimensions,a three dimensions,"His colorful maternal grandmother , Rattler Sue Mahoney -- who put a three dimensions plus to the concept of ' colorful'--would"
20481,a scant seven days,a seven days,"And now , a seven days before the ceremony , here they were ."
20482,an extra 30 days,an 30 days,Now we have an 30 days .
20483,an amazing 24 hours,an 24 hours,What an 24 hours !
20484,a socially responsible free two pints,a two pints,"The fire alarm went off just as we were finishing our second round , and we all ended up out on the pavement until things were sorted out , and decided that it would be a good time to head off to the Roundhouse in Covent Garden , where the new owners , Fuller 's Beers , had offered each Ian a two pints of beer ."
20485,a ghastly 82 Euros,a 82 Euros,"The train fare was a 82 Euros , three times the cost of the bus , and it still does n't get me to where I want to be ."
20486,a full 20 feet,a 20 feet,Rupert was a 20 feet away when my assailant was shot .
20487,"a mere 3,000 men","a 3,000 men","The town of Gloucester was defended by a 3,000 men , as opposed to father 's army of almost 30,000 ."
20488,a few hundred yards,a hundred yards,"Where the rode forks they 'll be a hundred yards left of you . """
20489,a few hundred yards,a hundred yards,"At the fork in the road we turned left , and a hundred yards in that direction and we indeed saw a building in the distance ."
20490,an extra 10 to 12 hours,an 10 to 12 hours,Because I had prior experience in that department they asked me if I would like to pick up an 10 to 12 hours a week .
20491,a good fifteen pounds,a fifteen pounds,I 'd lost a fifteen pounds I did n't have to lose in the first place .
20492,a full thirty seconds,a thirty seconds,He said nothing for a thirty seconds .
20493,a complete 180 degrees,a 180 degrees,They came to the next turn and noticed that it went a 180 degrees back in the opposite direction .
20494,a good five minutes,a five minutes,"Following the strenuous workout , Arjun stood under the hot shower for a five minutes , letting the water wash over him ."
20495,a few hundred kids,a hundred kids,"There was no way he could concentrate with a hundred kids making their way home , screaming and shouting ."
20496,a mere two days,a two days,"Beverly Martin is almost the same age as Cramond , it turns out ; born a two days before him ."
20497,a near six feet,a six feet,He was a six feet from her and still she could smell him .
20498,a solid seven hours,a seven hours,We were looking at a seven hours sitting in uncomfortable plastic chairs hoping our number did n't come up .
20499,a few hundred years,a hundred years,Why did we bother throwing tea in the Boston harbor if we were going to turn around a hundred years later and lose our will to fight ?
20500,a few thousand votes,a thousand votes,"In many elections , the difference between winning and losing is only a few hundred or a thousand votes ."
20501,a measly five minutes,a five minutes,I itched to go up to the clock and fast - forward it to a five minutes before my mind went crazy .
20502,a staggering six feet,a six feet,The man was a six feet two against my petite five - four frame .
20503,a solid two hours,a two hours,It must have been a two hours before I felt him enter the room .
20504,a dilapidated two stories,a two stories,It was a two stories building with the barkeeper 's home on the second floor .
20505,a full 5 seconds,a 5 seconds,It took Sage a 5 seconds to study the dead foe and then wrestle his sword with both hands out of the heap of flesh .
20506,a good ten yards,a ten yards,Joel widened the search and located the trail a ten yards into the woods .
20507,a good ten yards,a ten yards,"When he disconnected the call and turned back , Brittany was a ten yards away , headed straight for Kelly and his cart full of groceries ."
20508,a good seven pounds,a seven pounds,"He was born on February twenty - seventh at four in the morning and he weighed a seven pounds nine ounces . """
20509,a good ten minutes,a ten minutes,I judge a ten minutes have passed .
20510,a few thousand years,a thousand years,Will he believe it if I tell him I was born in Philadelphia a thousand years from now ? _
20511,a few hundred kilometers,a hundred kilometers,"Station Alpha was sited on the edge of a small underwater promontory near the Reed Banks , a hundred kilometers west of the Philippine island of Luzon , at a depth of a hundred and fifty meters ."
20512,a few thousand microns,a thousand microns,"Straight ahead , at a distance of maybe a thousand microns , was the front line of the enemy bots , like a fleet of warships on the horizon maneuvering for attack ."
20513,a respectable twenty knots,a twenty knots,"The driver seemed well schooled in navigating into the current and soon the sled was scooting along at a twenty knots , toward the surface and the base island , Dringoth devoutly hoped ."
20514,a few thousand beats,a thousand beats,"Back in the Atlantic now , a thousand beats away from Keenomsh'pont ... and home ."
20515,a few thousand chips,a thousand chips,They wo n't take much notice of one stranger cashing in a thousand chips for some Verlian crystal cells .
20516,a whole six hours,a six hours,"Naturally , I agreed to the marriage contract , and we had a six hours to celebrate together ."
20517,a full two weeks,a two weeks,The end result was an authentic Chinese border guard prison experience for a two weeks until they were expelled back into Kajbezistan where they were promptly arrested for being in the country on tourist visas that had expired two days earlier .
20518,an extra 30 seconds,an 30 seconds,""" It takes maybe an 30 seconds . """
20519,a full ten days,a ten days,"There is fierce competition to join the ranks of the OSCBE 's roster of elections observers , as each ( male ) observer is given a budget to hire a ( local female ) translator , who will then be coerced into a ten days of sexual services for , example , a fat , wrinkled old German who was long ago forced out of the German development organization JIZ for attempting to do the same there ."
20520,"an entire 40,000 liters","an 40,000 liters","Even more misery : Due to the reckless driving of an allegedly drunk tanker driver , an 40,000 liters of sodium cyanide spilled into a pristine river that fed into the Suuk - Kul Lake , a major agricultural region for Kajbezistan ."
20521,a good hundred feet,a hundred feet,""" No , I ca n't , "" she whispered , afraid to speak aloud even though they were still a hundred feet from the house . """
20522,a good five minutes,a five minutes,""" You 've been drying that same plate for a five minutes , "" Irene said ."
20523,a full five minutes,a five minutes,"They played on for a five minutes after these unobserved events , until finally Robert stopped ."
20524,a good fifteen miles,a fifteen miles,It 's a fifteen miles .
20525,a good 90 minutes,a 90 minutes,My poor Dad was called many times to take me home for a rest and it 's a 90 minutes ' drive and bring me back the next day .
20526,a good forty minutes,a forty minutes,I did n't breathe properly until I was a forty minutes in to the flight .
20527,an extremely hard three years,an three years,This was an three years on all three of us .
20528,a good twenty years,a twenty years,"Even though his brother was a twenty years his junior , he looked older ."
20529,a few hundred metres,a hundred metres,"The abundance of vegetation had given way to a barren wasteland within a hundred metres , almost as though some deadly disease had killed off Navin 's work ."
20530,a good ten to twelve feet,a ten to twelve feet,"The four boys stood just to the south of the bone dry smoldering grass , now covering a ten to twelve feet across ."
20531,a good fifteen feet,a fifteen feet,"By the time Fred broke the silence — in but a whisper—""dang , "" the flames had spread a fifteen feet across the fence line and were moving rapidly outward on both sides ."
20532,a few hundred feet,a hundred feet,They were heading for the toy store a hundred feet away .
20533,a good ten years,a ten years,It had been a ten years since Callum and Ailsa MacKay had reluctantly accepted the fact that their only child was a firmly established spinster . '
20534,a whole ruddy eight weeks,a eight weeks,"Enough time had been wasted , a eight weeks of it !"
20535,a full thirty seconds,a thirty seconds,But still a thirty seconds passed as she struggled to come to terms with the inevitable .
20536,a good seven inches,a seven inches,"He was at least six feet tall , a seven inches taller than her , and there did not appear to be any spare flesh on his very obvious masculine body ."
20537,a full ten seconds,a ten seconds,It took him a ten seconds to remember that they pulled inwards and not pushed outwards .
20538,a full ten degrees,a ten degrees,"The wind changed direction on the tenth night of their enforced isolation , and by noon the thermometer showed that the temperature had gone up by a ten degrees ."
20539,a couple hundred feet,a hundred feet,The trees opened up and Richard pointed towards the highway a hundred feet off to the left and hollered at Tawnie .
20540,a few hundred yards,a hundred yards,Richard stopped and looked at the long wall of stone that stretched from the left and ran off into the side of the mountain cliff a hundred yards to the right .
20541,a few hundred yards,a hundred yards,An obvious trail ran along the bottom of the stone wall off to the right and up a scree slope that disappeared around the side of the mountain a hundred yards to the south .
20542,a few hundred yards,a hundred yards,"The helicopter passed over and banked sharply to its left before it circled around , slowed , and hovered off to their left a hundred yards ."
20543,a full five minutes,a five minutes,"He highlighted the one line and began to key a bunch of numbers into his keyboard , typing away for a five minutes ."
20544,a further two kilometres,a two kilometres,"It continued down the highway a two kilometres before stopping , at which point the small drone was brought down and carefully moved into the rear hatch ."
20545,an extra two hours,an two hours,"He slept in an two hours , worked out at the gym , and then ran over to Starbucks with the morning paper before stepping into the office ."
20546,a good two feet,a two feet,"He focused on the sugar dispenser , a two feet beyond his reach ."
20547,a few hundred feet,a hundred feet,The two men rode in silence as the spacecraft carried them along a hundred feet above Terra 's mono - colored topology .
20548,"a mere 1,500 feet","a 1,500 feet","They were approaching the drop zone , and the plane would be a 1,500 feet off the ground ."
20549,an extra eighteen bucks,an eighteen bucks,"What 's important is that the PCV valve is going to cost me , Mister Consumer , Mister Citizen , Mister I've - Got - My - Rights , an eighteen bucks , and I should n't have to pay it ."
20550,a fragile hundred days,a hundred days,"It was only seconds before the new chief of staff , a hundred days into his stint , picked up on a similar cellular , sounding wide awake despite the early hour ."
20551,a few thousand troops,a thousand troops,"The attackers simply had to wait about an hour , airdrop a thousand troops into the target area , and backup maneuvers could begin ."
20552,a perfect 98.6 degrees,a 98.6 degrees,"When the sensation became too much to bear , Tohouri stepped back , and one of the ministers rushed to the maiden 's side with a golden chalice heated to a 98.6 degrees ."
20553,a healthy three fingers,a three fingers,"He poured a three fingers for each of them , glancing over his shoulder as if to keep Kusczak in sight ."
20554,a mere hundred miles,a hundred miles,"A second , much slower rocket was launched at the same time , this one from a second submarine , located a hundred miles from the mouth of the Chesapeake Bay ."
20555,a few thousand acres,a thousand acres,They were decimated down to only a thousand acres .
20556,a good 5 minutes,a 5 minutes,But he just kept vomiting ' til it was nothing but air ; a 5 minutes of dry retching !
20557,a good 5 minutes,a 5 minutes,It took Ziggy and T Rex a 5 minutes to pry and break the jawbone of the head from Dion 's torn leg .
20558,a mere 2 seconds,a 2 seconds,"Wolfie seemed to fly through the air from throat to throat killing the first one instantly by biting it clean out , leaving his first kill drop to his back with blood squirting high in the air from the gaping hole where his neck had been located a 2 seconds before ."
20559,a steady fifty miles,a fifty miles,Ben had noted that the narrower gauged tracks would mean a slower speed and a fifty miles per hour seemed to be the norm .
20560,a few hundred feet,a hundred feet,He swooped down to just a hundred feet above .
20561,a few hundred yards,a hundred yards,""" I searched the perimeter for a hundred yards and did not see anything ."
20562,a few hundred yards,a hundred yards,"A squad of Marine , heavy machine gunners ran a hundred yards from the firestorm of bullets and set up their machine guns along downed tree trunks and rocky out crops ."
20563,a good ten minutes,a ten minutes,"We walked for a ten minutes to get to the campsite where all the teachers , who drove in their own car to dodge the vomiting children in the bus , had already arrived ."
20564,a further 20 minutes,a 20 minutes,"Re - cover and cook for a 20 minutes on high , or until the spinach has wilted ."
20565,a further 15 minutes,a 15 minutes,Cook for a 15 minutes .
20566,a further 2 minutes,a 2 minutes,* Add the low - sodium soy sauce and the spices and cook for a 2 minutes .
20567,a further four inches,a four inches,"Rose pushed the lever a four inches , creating a boom from the engines ."
20568,a few million people,a million people,""" There is enough to vaccinate a million people but since this is a new strain we 're not even sure if this is going to be helpful , which is why the new vaccine has to be much stronger than the ones we have today . """
20569,a few hundred bucks,a hundred bucks,"Now all he had to do was pay the manager a hundred bucks to get her out of here in the next hour or so , as soon as she was done with her next set ."
20570,a very long three seconds,a three seconds,Jadon held onto his chair with white knuckles for what seemed like a three seconds .
20571,a good three yards,a three yards,"Jadon was standing in the very same place he had been , but the girl who had attacked him was a three yards down the hall , lying motionless ."
20572,a few hundred years,a hundred years,"While the one to Lighthouse Bay looked futuristic , several other cities ' trains appeared to be a hundred years old ."
20573,a mild 74 degrees,a 74 degrees,It is a 74 degrees and she quickly takes out a cardigan to put over her short sleeved purple knit shirt .
20574,a few hundred years,a hundred years,"Are you saying you could have a solution in a hundred years ? """
20575,an extra 43 minutes,an 43 minutes,Apparently people in the 20th century had an 43 minutes in the day to watch and listen to a plastic disk spinning round .
20576,a few hundred kilometres,a hundred kilometres,"The tanks were closing in , just a hundred kilometres from the Alps , and Gruyère 's castle ."
20577,a mere twenty feet,a twenty feet,The sound of a branch breaking filled the air a twenty feet away .
20578,an additional twenty minutes,an twenty minutes,Taking the long way home meant an twenty minutes in the Jeep and Ava let out a sigh of relief when Maddie only wanted to go to bed when they walked into the house .
20579,a good ten metres,a ten metres,"The nearest other apartment was a ten metres away , so he risked rapping his knuckles against the door , even calling out for Idalia in the vague hope that she would be awake at such an hour ."
20580,a full hundred and eighty degrees,a hundred and eighty degrees,"He looked at it from a few angles , running his ghost 's fingers around it to see where the access port was , before acting on a whim and turning a hundred and eighty degrees and craning his neck to stare at it ."
20581,an extra 30 reps,an 30 reps,Would that mean she has to do an 30 reps than me to catch up ?
20582,a long 12 weeks,a 12 weeks,It 's been a 12 weeks !
20583,a cloying eighty degrees,a eighty degrees,"It was going to be a warm day in New York , a eighty degrees by mid - afternoon ."
20584,a hard seven years,a seven years,""" It must have been a seven years if you do n't like New York . """
20585,a short eleven minutes,a eleven minutes,"The last film , a eleven minutes long , informed them of RBD 's promising future as it expanded into cargo containers and shipping ."
20586,a few hundred yards,a hundred yards,There 's a grand old two - story house set back a hundred yards away .
20587,a difficult three weeks,a three weeks,I can see from the three faces looking at me that Ryland is not the only Keller who has had a three weeks .
20588,a mere 48 hours,a 48 hours,Your cousin Maya is going to be sacrificed on the west platform in a 48 hours !
20589,a whole six months,a six months,Caring for animals was second nature and she revelled for a six months in the joy of hand - feeding her pet camel with milk from a bottle .
20590,a warm 27 degrees,a 27 degrees,It was still a 27 degrees with the humidity high .
20591,a whopping 177 millimetres,a 177 millimetres,ABC local radio informed us that 50 millimetres of rain had fallen 30 kilometres south of Mitchell ; 80 millimetres at Muckadilla ; 75 millimetres at Charleville and Quilpie ; and a 177 millimetres at Tambo and Augathella .
20592,a few thousand degrees,a thousand degrees,Let 's take the temperature in here down a thousand degrees .
20593,a good five minutes,a five minutes,"As it is now , I scrub at it for a five minutes before I decide I 've got everything ."
20594,a good eighty pounds,a eighty pounds,A mile away and I 've got a eighty pounds of guns and ammo .
20595,a good hundred feet,a hundred feet,"He 's still alive enough to roar like a bull and then hurl me a hundred feet , as if I 'm a human Frisbee ."
20596,a grizzled 45 years,a 45 years,He could 've been a youthful 65 or a 45 years old .
20597,a long thirty minutes,a thirty minutes,"I had a thirty minutes left before my stop , and I hoped Osman was waiting for me there ."
20598,a safe six inches,a six inches,Osman grabbed my wrists and kept my hands a six inches from his face .
20599,a good twenty minutes,a twenty minutes,That took a twenty minutes to explain and I had to remind Alek that I was n't an expert on them .
20600,a good fifteen minutes,a fifteen minutes,I had spent a fifteen minutes or so slowly looking at all the trinkets and gadgets scattered over the desk and shelves .
20601,a good five to ten minutes,a five to ten minutes,"ACTUALLY , HE'D FINISHED TALKING TO Yakov a five to ten minutes ago and had watched Loi for that time ."
20602,a good twenty minutes,a twenty minutes,"When she came out , a twenty minutes later , they still had n't budged from their beds ."
20603,a good two months,a two months,Elena had said it would take a two months before the couple woke .
20604,a long two months,a two months,It just feels like ... like a two months . '
20605,an extra two slices,an two slices,"I asked while she folded her rations into her side pouch , handing me an two slices of jerky that would n't fit ."
20606,a good 240 pounds,a 240 pounds,"At six feet , three inches in height , he was a 240 pounds with very little body fat ."
20607,a good fifty pounds,a fifty pounds,He outweighed Chief Duggins by a fifty pounds .
20608,a fragile six months,a six months,"It was a six months , but it bought time for the senior leadership to steadily move their own funds to offshore accounts ."
20609,a few hundred feet,a hundred feet,"As he ran a hundred feet into the meadow , two nightmares came crashing out of the vegetation behind him ."
20610,a good ten feet,a ten feet,"Once they were separated by a ten feet , Mike walked into the middle ."
20611,a long three days,a three days,"It had been a three days for everyone , filled with improving their living conditions ."
20612,a good hundred feet,a hundred feet,"Since she was a hundred feet away , so Mike triggered his rail gun and the projectiles cut into her front leg , spoiling the jump ."
20613,an additional nine hours,an nine hours,"Rob broke it to them , "" The earth 's rotation right now is about thirty - three hours , which means that we have an nine hours added to our day . """
20614,a long three months,a three months,It had been a three months .
20615,a few hundred dollars,a hundred dollars,I pop a hundred dollars in hit the max bet and am having fun .
20616,a cheery ten years,a ten years,"The guy opens forward and smiles , a ten years older – he offers me a crisp hanging from a party tube ."
20617,an eventful 3 days,an 3 days,"Maybe it 's further to climb – either way , this will be an 3 days ."
20618,a lost nine days,a nine days,"The anecdote goes , that we had a nine days in 1998 ."
20619,a good ten years,a ten years,""" God , the last I heard from Jack was a ten years ago ."
20620,a slim sixteen pages,a sixteen pages,"Whereas the original design proposal had run to well over one hundred pages of text , almost twenty pages of which were devoted to specification of the mathematical models that would be employed , the revised plan was a sixteen pages ."
20621,an additional eighteen subprojects,an eighteen subprojects,"Indeed , the SOFS research effort executed under Barlow 's direction included sixteen primary studies covering virtually every aspect of strategic force design and active and passive defense supported by an eighteen subprojects that analyzed U.S. weapons system characteristics and base designs ."
20622,a tumultuous five years,a five years,"outpouring coincided with the start of a five years that , by 1966 , resulted in a fundamental redirection of RAND 's research programs ."
20623,an extraordinary 148 projects,an 148 projects,"During the first three - quarters of 1966 , for example , RAND undertook an 148 projects as "" special requests "" from various Air Force commands relating to Vietnam needs ."
20624,a further eight volumes,a eight volumes,"In August , 1969 , Ellsberg moved a eight volumes of this set to California , and at that point , only he and Rowen in Santa Monica knew that the volumes existed ."
20625,a few thousand days,a thousand days,You have no sense of movement despite the fact that you 've just hurtled a thousand days from where you started .
20626,a full ten minutes,a ten minutes,I sat there for a ten minutes trying to regain my balance .
20627,a long two weeks,a two weeks,You and I need to have a two weeks of concert planning before you start planning vacations .
20628,a full ten minutes,a ten minutes,"The audience stood clapping , not giving him a chance to talk , a ten minutes passed before Alexi could speak ."
20629,a measly two days,a two days,I guess I can handle a two days ... as long as no one has any crying fits .
20630,a good three hours,a three hours,Last night I barely slept a three hours thinking about T. I know that something has been going on for a while but she wo n't talk about it .
20631,a good 30 minutes,a 30 minutes,"Once seated , Tiffany pulls out her cellphones and begins playing with it , I guess to see what different type of features it has on it and ignores me for at least a 30 minutes ."
20632,a good two shoes,a two shoes,"But according to Tianna , I 'm "" a two shoes . """
20633,a tough thirty seconds,a thirty seconds,It was a thirty seconds for the men .
20634,a few million dollars,a million dollars,The Optimists in the British Petroleum management tried to save a million dollars in cost by not using a remote controlled blowout preventer while drilling for oil in the Gulf of Mexico and caused one of the worst drilling and ecological disasters in the history of oil production .
20635,a few billion dollars,a billion dollars,The damage can be worth a few hundred million to a billion dollars per year .
20636,a whole five minutes,a five minutes,"Once Scarlett had tried to make my entire room pink , pink walls , pink rug , pink bed , pink everything ... That lasted a five minutes ."
20637,a good ten years,a ten years,He 's a ten years younger than me and more attractive with it .
20638,a good ten years,a ten years,He 'd put her age at a ten years younger than his own thirty - six .
20639,an additional two hours,an two hours,He was tired from the drive up ; the storm had added an two hours to his drive time and testifying always pissed him off some .
20640,a full three days,a three days,"It had been a three days , plus several hours , since the last time anyone had seen or spoken to his brother or Brynna ."
20641,a good two feet,a two feet,The floor was empty and the coats hanging there were a two feet off the ground .
20642,a grueling two hours,a two hours,"I spent a two hours driving her home , balked at several moments by immense lakes of water where there had once been roads ."
20643,a full two minutes,a two minutes,"The wedding itself was a sadly typical Catholic ceremony , filled with endless chanting and prayers , and , of course , a two minutes of _ Ave Maria _ ."
20644,a whole five years,a five years,"I made him sit down and I began the pizza , my speciality , and as he watched me create his lunch we talked , he was twenty - three , a five years my senior , an ex - model and the middle son of a diplomat , I know I oh - ed , I was mesmerised , and as the pizza cooked , he drank coffee and we talked ."
20645,a whole two days,a two days,"We made up for lost time when he got back , we spent a two days in bed living on food being delivered to the house ."
20646,a few hundred feet,a hundred feet,He told the pilot to land a hundred feet from the bluff and away from the crash site in order to not disturb anything .
20647,a few hundred yards,a hundred yards,"As David watched , the cordon was soon complete with an Indian standing or sitting a hundred yards apart from each other ."
20648,a few hundred yards,a hundred yards,"Suddenly , as if materializing out of nowhere , he spotted an intruder standing a hundred yards from where the crew was working ."
20649,a few hundred feet,a hundred feet,"He walked a hundred feet away , turned and , in a strong voice , gave the command , "" Do it ! """
20650,a few hundred yards,a hundred yards,"Twenty minutes later , they were crawling in the ditch a hundred yards from the farmhouse , and for the first time since the assault began , it was incredibly quiet ."
20651,a few hundred yards,a hundred yards,"As he glanced back to the road , he saw a pickup partially blocking his path a hundred yards ahead and two individuals standing beside it ."
20652,a full five minutes,a five minutes,"For a five minutes , Jackie watched the woman sitting cross - legged on the floor ."
20653,a few million survivors,a million survivors,"They had envisioned that the antidote once issued to the populace would complete their task , and the country would return to its natural state with only a million survivors to rebuild ."
20654,a good thirty minutes,a thirty minutes,"After a thirty minutes , I walked over to where they were standing , knowing I could n't avoid this forever ."
20655,a good three hours,a three hours,"We watched TV for a three hours , and it was nearing midnight ."
20656,a good five minutes,a five minutes,For a five minutes I believed this to be a satisfactory answer .
20657,a further fifteen minutes,a fifteen minutes,"It took him a fifteen minutes to walk back to the apartment block , a towering mass that blended in with the ever growing skyline of San Francisco ."
20658,a mere three hours,a three hours,"Chandra awoke in the early evening , having slept for a three hours , and called Edwin as soon as she could be sure he 'd left the premises ."
20659,a few hundred years,a hundred years,"Machines were set in motion that were , within a hundred years , to unify the world ."
20660,a good six inches,a six inches,It snapped the creep 's head back a six inches .
20661,a few hundred years,a hundred years,""" Technology has come a very long way in just a hundred years , "" Rozar giggled ."
20662,a good six feet,a six feet,""" Rudy , "" Alison stopped a six feet from him and looked around the parking lot ."
20663,a good five minutes,a five minutes,That 's when it leaps out and wrings your stomach like a soaking dish towel and you spend a five minutes taking shallow breaths while you try to will your roiling stomach to calm down .
20664,a good three or four hours,a three or four hours,"There were still a three or four hours till it got dark , and I decided that was plenty of time to run over to Ravanna ."
20665,an extra two weeks,an two weeks,"Cody ended up taking an two weeks off from work to stay with me a little longer , although I suspect he probably got himself in trouble for that ."
20666,a good two days,a two days,I had a two days worth of stubble on my face .
20667,a few thousand years,a thousand years,"Unfortunately , after a thousand years , you 'll all hate each other ."
20668,a few hundred yards,a hundred yards,""" Alright , well , "" Jack said , the entire group well - hidden in thick brush a hundred yards away ."
20669,a few hundred years,a hundred years,"Without Jay , his father would 've been able to live the length of a natural wizard 's life of a hundred years ."
20670,a few hundred times,a hundred times,"These traders , riding the bow wave that the great trading CPU 's pushed out , made or lost money only a hundred times a second in dark personal alcoves or in row - upon - row of desks in massive trading offices ."
